epoch,accuracy,loss,val_accuracy,val_loss
0,0.9034516215324402,0.24455884099006653,0.932817280292511,0.17200900614261627
1,0.9377852082252502,0.1589192897081375,0.9425947070121765,0.1465195268392563
2,0.9463487863540649,0.13717684149742126,0.9505203366279602,0.12720568478107452
3,0.9515631198883057,0.12320143729448318,0.9486685395240784,0.12244434654712677
4,0.954840898513794,0.11422590911388397,0.9574460387229919,0.10610823333263397
5,0.9579679369926453,0.10687427967786789,0.957186758518219,0.10124921053647995
6,0.960698127746582,0.10141977667808533,0.9623347520828247,0.09358116239309311
7,0.9618409872055054,0.09634269773960114,0.958297848701477,0.10547539591789246
8,0.963182270526886,0.09323111921548843,0.9632235765457153,0.09030131250619888
9,0.9643568396568298,0.09006750583648682,0.9605940580368042,0.09941649436950684
10,0.9650552868843079,0.08708036690950394,0.966667890548706,0.08344536274671555
11,0.9657060503959656,0.08606188744306564,0.9627421498298645,0.09209612011909485
12,0.9668013453483582,0.08392947167158127,0.9665197730064392,0.08702942728996277
13,0.9673965573310852,0.08168864250183105,0.9695196747779846,0.0757286548614502
14,0.967991828918457,0.0801740512251854,0.9668900966644287,0.07999848574399948
15,0.9685394167900085,0.07921268045902252,0.9646309614181519,0.08208689093589783
16,0.968841016292572,0.07741890847682953,0.9675567746162415,0.07652098685503006
17,0.9692299365997314,0.07680996507406235,0.9700011014938354,0.07188905775547028
18,0.9700077176094055,0.07567024230957031,0.9724825024604797,0.07410396635532379
19,0.9701188206672668,0.07469354569911957,0.9701492786407471,0.07519678771495819
20,0.9701664447784424,0.07391396164894104,0.9702973961830139,0.07382385432720184
21,0.9707775712013245,0.07339103519916534,0.971408486366272,0.07139662653207779
22,0.9711505770683289,0.07153728604316711,0.9696677923202515,0.0732647180557251
23,0.9716426134109497,0.07114121317863464,0.9735935926437378,0.07043281942605972
24,0.9716981649398804,0.07033176720142365,0.9709640145301819,0.0810793936252594
25,0.9723489880561829,0.06946349143981934,0.9698529839515686,0.0768091231584549
26,0.9722934365272522,0.06852652877569199,0.9694455862045288,0.06976856291294098
27,0.9728410840034485,0.06761980056762695,0.9667419791221619,0.0790301114320755
28,0.9729442000389099,0.06764455884695053,0.9704455137252808,0.07087016105651855
29,0.9728172421455383,0.06636639684438705,0.9757786989212036,0.062481239438056946
30,0.9735236167907715,0.06563282757997513,0.9747787117958069,0.06302716583013535
31,0.9734045267105103,0.06514632701873779,0.9739639163017273,0.062144696712493896
32,0.9737220406532288,0.06455820798873901,0.9760009050369263,0.0585312657058239
33,0.9740474224090576,0.06433752179145813,0.9741120934486389,0.06426921486854553
34,0.9740474224090576,0.06356880068778992,0.971149206161499,0.06799880415201187
35,0.9740315675735474,0.0637308657169342,0.9773712158203125,0.05772075429558754
36,0.974420428276062,0.06313333660364151,0.977334201335907,0.05826288461685181
37,0.9747220277786255,0.06300727277994156,0.9767786264419556,0.05880878120660782
38,0.9745394587516785,0.062093816697597504,0.9750750064849854,0.059158291667699814
39,0.9745633006095886,0.06173737347126007,0.9757786989212036,0.06060045212507248
40,0.974587082862854,0.061675380915403366,0.9753342270851135,0.06082099303603172
41,0.975618839263916,0.06033964827656746,0.9739269018173218,0.06553652137517929
42,0.9753966331481934,0.05991405248641968,0.9755194187164307,0.05998222902417183
43,0.9756664633750916,0.0604180209338665,0.9750009179115295,0.06230011582374573
44,0.9759998321533203,0.05922186002135277,0.9752231240272522,0.060355525463819504
45,0.9753252267837524,0.05963055416941643,0.9740009903907776,0.06402775645256042
46,0.9754839539527893,0.05864051356911659,0.9721491932868958,0.06812430918216705
47,0.9760791659355164,0.058453720062971115,0.9748157262802124,0.06326848268508911
48,0.9759601354598999,0.05854656919836998,0.9784452319145203,0.05486692860722542
49,0.9762538075447083,0.05819547921419144,0.9737787246704102,0.06322848051786423
50,0.9763331413269043,0.05733203887939453,0.9769638180732727,0.05487630143761635
51,0.9764363169670105,0.056815482676029205,0.9760379195213318,0.05621321499347687
52,0.9767458438873291,0.05587083846330643,0.9757786989212036,0.0576082281768322
53,0.9767061471939087,0.05648001283407211,0.9695566892623901,0.06993884593248367
54,0.9771029949188232,0.055836375802755356,0.9771860241889954,0.051373858004808426
55,0.9768490195274353,0.05578851327300072,0.9710381031036377,0.06909080594778061
56,0.9773252010345459,0.05544587969779968,0.974963903427124,0.06517915427684784
57,0.977333128452301,0.054777808487415314,0.9762231111526489,0.054976534098386765
58,0.9768648743629456,0.05528026819229126,0.977741539478302,0.05359139293432236
59,0.9772617220878601,0.055167991667985916,0.9783341288566589,0.0515085831284523
60,0.9773728251457214,0.05485157668590546,0.9788156151771545,0.05140727013349533
61,0.9772934913635254,0.054977916181087494,0.9767045378684998,0.05772942304611206
62,0.9780950546264648,0.05290539190173149,0.9804081320762634,0.048749253153800964
63,0.97768235206604,0.05373411998152733,0.9797044396400452,0.049895450472831726
64,0.9779521822929382,0.05324459820985794,0.977667510509491,0.05222136899828911
65,0.9785077571868896,0.05249451845884323,0.9726676940917969,0.07999221235513687
66,0.9779998064041138,0.05287948623299599,0.9799266457557678,0.049863699823617935
67,0.97810298204422,0.052984800189733505,0.9803340435028076,0.04861988127231598
68,0.9784919023513794,0.0519670695066452,0.9795933365821838,0.0516585148870945
